route_id,stop_code,sequence_no
1_1,1009,0
1_1,2,1
1_1,4,2
1_1,6,3
1_1,9,4
1_1,11,5
1_1,14,6
1_1,23,7
1_1,24,8
1_1,26009,9
1_2,26009,0
1_2,25,1
1_2,22,2
1_2,13,3
1_2,12,4
1_2,10,5
1_2,7,6
1_2,5,7
1_2,3,8
1_2,1009,9
2_1,53009,0
2_1,52,1
2_1,47,2
2_1,44,3
2_1,40,4
2_1,38,5
2_1,31,6
2_1,21,7
2_1,17,8
2_1,19,9
2_1,20,10
2_1,54,11
2_1,53009,12
3_1,53009,0
3_1,52,1
3_1,47,2
3_1,44,3
3_1,43,4
3_1,40,5
3_1,38,6
3_1,29,7
3_1,22,8
3_1,13,9
3_1,28,10
3_1,26009,11
3_2,26009,0
3_2,27,1
3_2,14,2
3_2,23,3
3_2,30,4
3_2,39,5
3_2,41,6
3_2,42,7
3_2,45,8
3_2,55,9
3_2,56,10
3_2,54,11
3_2,53009,12
4_1,48009,0
4_1,46,1
4_1,49,2
4_1,36,3
4_1,32,4
4_1,35,5
4_1,18,6
4_1,15,7
4_1,10,8
4_1,8009,9
4_2,8009,0
4_2,9,1
4_2,16,2
4_2,19,3
4_2,34,4
4_2,33,5
4_2,37,6
4_2,50,7
4_2,47,8
4_2,48009,9
5_1,57009,0
5_1,58,1
5_1,27,2
5_1,12,3
5_1,61,4
5_1,v1,5
5_1,v2,6
5_1,63,7
5_1,64,8
5_1,68,9
5_1,67009,10
5_2,67009,0
5_2,66,1
5_2,65,2
5_2,67,3
5_2,v3,4
5_2,v4,5
5_2,11,6
5_2,28,7
5_2,60,8
5_2,57009,9
6_1,67009,0
6_1,66,1
6_1,65,2
6_1,67,3
6_1,69,4
6_1,71,5
6_1,40,6
6_1,73,7
6_1,v5,8
6_1,46,9
6_1,51,10
6_1,75,11
6_1,76,12
6_1,8009,13
6_2,8009,0
6_2,77,1
6_2,54,2
6_2,52,3
6_2,47,4
6_2,v6,5
6_2,74,6
6_2,41,7
6_2,72,8
6_2,70,9
6_2,64,11
6_2,68,12
6_2,67009,13
7_1,67009,0
7_1,66,1
7_1,65,2
7_1,67,3
7_1,v3,4
7_1,v7,5
7_1,22,6
7_1,17,7
7_1,19,8
7_1,20,9
7_1,5,10
7_1,3,11
7_1,78,12
7_1,47,13
7_1,79,14
7_1,80,15
7_1,70,16
7_1,64,18
7_1,68,19
7_1,67009,20
6_2,63,10
7_1,63,17
