link_id,travel_mode,start_time,end_time,travel_time
1,Car,00:00:00,23:59:59,47.93036
2,Car,00:00:00,23:59:59,35.96383
3,Car,00:00:00,23:59:59,40.00838
4,Car,00:00:00,23:59:59,65.10004
5,Car,00:00:00,23:59:59,22.19466
6,Car,00:00:00,23:59:59,27.89855
7,Car,00:00:00,23:59:59,23.21924
8,Car,00:00:00,23:59:59,154.1661
9,Car,00:00:00,23:59:59,33.77622
10,Car,00:00:00,23:59:59,97.76194
11,Car,00:00:00,23:59:59,33.68295
12,Car,00:00:00,23:59:59,86.63953
13,Car,00:00:00,23:59:59,49.25071
14,Car,00:00:00,23:59:59,44.49099
15,Car,00:00:00,23:59:59,49.13915
16,Car,00:00:00,23:59:59,65.23894
17,Car,00:00:00,23:59:59,49.44627
18,Car,00:00:00,23:59:59,36.29067
19,Car,00:00:00,23:59:59,44.55223
20,Car,00:00:00,23:59:59,60.06396
21,Car,00:00:00,23:59:59,50.18478
22,Car,00:00:00,23:59:59,19.95223
23,Car,00:00:00,23:59:59,19.4495
24,Car,00:00:00,23:59:59,66.1755
25,Car,00:00:00,23:59:59,51.00288
26,Car,00:00:00,23:59:59,51.33765
27,Car,00:00:00,23:59:59,31.77474
28,Car,00:00:00,23:59:59,83.59466
29,Car,00:00:00,23:59:59,38.15246
30,Car,00:00:00,23:59:59,74.85198
31,Car,00:00:00,23:59:59,41.76518
32,Car,00:00:00,23:59:59,43.69002
33,Car,00:00:00,23:59:59,67.11172
34,Car,00:00:00,23:59:59,22.66201
35,Car,00:00:00,23:59:59,72.91817
36,Car,00:00:00,23:59:59,68.03198
37,Car,00:00:00,23:59:59,44.47626
38,Car,00:00:00,23:59:59,34.24957
39,Car,00:00:00,23:59:59,78.43987
40,Car,00:00:00,23:59:59,116.61399
41,Car,00:00:00,23:59:59,52.49753
42,Car,00:00:00,23:59:59,69.27849
43,Car,00:00:00,23:59:59,34.0951
44,Car,00:00:00,23:59:59,50.05085
45,Car,00:00:00,23:59:59,60.38381
46,Car,00:00:00,23:59:59,42.32144
47,Car,00:00:00,23:59:59,26.72897
48,Car,00:00:00,23:59:59,116.61707
49,Car,00:00:00,23:59:59,50.23845
50,Car,00:00:00,23:59:59,35.57928
51,Car,00:00:00,23:59:59,54.3625
52,Car,00:00:00,23:59:59,33.44507
53,Car,00:00:00,23:59:59,37.99574
54,Car,00:00:00,23:59:59,65.24631
55,Car,00:00:00,23:59:59,67.7816
56,Car,00:00:00,23:59:59,21.89504
57,Car,00:00:00,23:59:59,37.9079
58,Car,00:00:00,23:59:59,52.54889
59,Car,00:00:00,23:59:59,24.85385
60,Car,00:00:00,23:59:59,22.15395
61,Car,00:00:00,23:59:59,74.83136
62,Car,00:00:00,23:59:59,61.09822
63,Car,00:00:00,23:59:59,24.82309
64,Car,00:00:00,23:59:59,36.04775
65,Car,00:00:00,23:59:59,55.75233
66,Car,00:00:00,23:59:59,86.57979
67,Car,00:00:00,23:59:59,33.5318
68,Car,00:00:00,23:59:59,142.95258
69,Car,00:00:00,23:59:59,35.92595
70,Car,00:00:00,23:59:59,103.23917
71,Car,00:00:00,23:59:59,74.44927
72,Car,00:00:00,23:59:59,64.95156
73,Car,00:00:00,23:59:59,28.069
74,Car,00:00:00,23:59:59,22.43135
75,Car,00:00:00,23:59:59,127.99045
76,Car,00:00:00,23:59:59,22.58652
77,Car,00:00:00,23:59:59,152.0589
78,Car,00:00:00,23:59:59,76.31894
79,Car,00:00:00,23:59:59,22.94014
80,Car,00:00:00,23:59:59,43.66192
81,Car,00:00:00,23:59:59,83.86279
82,Car,00:00:00,23:59:59,43.33346
83,Car,00:00:00,23:59:59,74.44972
84,Car,00:00:00,23:59:59,60.03318
85,Car,00:00:00,23:59:59,43.37656
86,Car,00:00:00,23:59:59,58.13131
87,Car,00:00:00,23:59:59,43.53019
88,Car,00:00:00,23:59:59,57.94343
89,Car,00:00:00,23:59:59,28.00047
90,Car,00:00:00,23:59:59,14.15292
91,Car,00:00:00,23:59:59,41.47302
92,Car,00:00:00,23:59:59,25.23298
93,Car,00:00:00,23:59:59,145.4567
94,Car,00:00:00,23:59:59,13.79378
95,Car,00:00:00,23:59:59,35.88644
96,Car,00:00:00,23:59:59,25.26895
97,Car,00:00:00,23:59:59,66.29102
98,Car,00:00:00,23:59:59,19.319
99,Car,00:00:00,23:59:59,38.39467
100,Car,00:00:00,23:59:59,35.93171
101,Car,00:00:00,23:59:59,30.84527
102,Car,00:00:00,23:59:59,101.08605
103,Car,00:00:00,23:59:59,19.35417
104,Car,00:00:00,23:59:59,41.11632
105,Car,00:00:00,23:59:59,35.43735
106,Car,00:00:00,23:59:59,35.8345
107,Car,00:00:00,23:59:59,79.89194
108,Car,00:00:00,23:59:59,38.22621
109,Car,00:00:00,23:59:59,46.66478
110,Car,00:00:00,23:59:59,38.18404
111,Car,00:00:00,23:59:59,74.69932
112,Car,00:00:00,23:59:59,31.25872
113,Car,00:00:00,23:59:59,23.61898
114,Car,00:00:00,23:59:59,46.54508
115,Car,00:00:00,23:59:59,67.899
116,Car,00:00:00,23:59:59,33.48389
117,Car,00:00:00,23:59:59,63.96855
118,Car,00:00:00,23:59:59,23.13894
119,Car,00:00:00,23:59:59,63.77476
120,Car,00:00:00,23:59:59,16.5915
121,Car,00:00:00,23:59:59,68.77237
122,Car,00:00:00,23:59:59,16.29581
123,Car,00:00:00,23:59:59,76.89305
124,Car,00:00:00,23:59:59,69.52008
125,Car,00:00:00,23:59:59,44.72257
126,Car,00:00:00,23:59:59,44.4328
127,Car,00:00:00,23:59:59,46.08303
128,Car,00:00:00,23:59:59,120.74817
129,Car,00:00:00,23:59:59,38.87293
130,Car,00:00:00,23:59:59,29.80433
131,Car,00:00:00,23:59:59,33.54552
132,Car,00:00:00,23:59:59,29.83281
133,Car,00:00:00,23:59:59,120.47869
134,Car,00:00:00,23:59:59,34.07423
135,Car,00:00:00,23:59:59,78.29632
136,Car,00:00:00,23:59:59,31.45787
137,Car,00:00:00,23:59:59,179.04543
138,Car,00:00:00,23:59:59,35.29671
139,Car,00:00:00,23:59:59,78.10051
140,Car,00:00:00,23:59:59,227.89392
141,Car,00:00:00,23:59:59,46.11473
142,Car,00:00:00,23:59:59,31.44853
143,Car,00:00:00,23:59:59,35.27649
144,Car,00:00:00,23:59:59,128.25378
145,Car,00:00:00,23:59:59,46.40959
146,Car,00:00:00,23:59:59,227.54877
147,Car,00:00:00,23:59:59,39.17887
148,Car,00:00:00,23:59:59,112.49679
149,Car,00:00:00,23:59:59,187.98912
150,Car,00:00:00,23:59:59,69.91876
151,Car,00:00:00,23:59:59,178.4229
152,Car,00:00:00,23:59:59,56.87222
153,Car,00:00:00,23:59:59,31.80389
154,Car,00:00:00,23:59:59,33.33011
155,Car,00:00:00,23:59:59,110.46072
156,Car,00:00:00,23:59:59,77.88817
157,Car,00:00:00,23:59:59,38.88878
158,Car,00:00:00,23:59:59,46.3001
159,Car,00:00:00,23:59:59,28.0606
160,Car,00:00:00,23:59:59,33.67625
161,Car,00:00:00,23:59:59,22.19162
162,Car,00:00:00,23:59:59,47.79747
163,Car,00:00:00,23:59:59,109.17809
164,Car,00:00:00,23:59:59,23.15344
165,Car,00:00:00,23:59:59,11.90173
166,Car,00:00:00,23:59:59,50.61837
167,Car,00:00:00,23:59:59,20.04116
168,Car,00:00:00,23:59:59,21.93636
169,Car,00:00:00,23:59:59,55.22006
170,Car,00:00:00,23:59:59,28.3826
171,Car,00:00:00,23:59:59,21.92827
172,Car,00:00:00,23:59:59,197.67824
173,Car,00:00:00,23:59:59,58.48752
174,Car,00:00:00,23:59:59,185.20806
175,Car,00:00:00,23:59:59,95.82837
176,Car,00:00:00,23:59:59,178.89123
177,Car,00:00:00,23:59:59,32.01121
178,Car,00:00:00,23:59:59,106.79146
179,Car,00:00:00,23:59:59,56.91565
180,Car,00:00:00,23:59:59,49.86309
181,Car,00:00:00,23:59:59,20.40531
182,Car,00:00:00,23:59:59,44.28044
183,Car,00:00:00,23:59:59,299.68106
184,Car,00:00:00,23:59:59,44.04234
185,Car,00:00:00,23:59:59,133.61559
186,Car,00:00:00,23:59:59,23.6757
187,Car,00:00:00,23:59:59,302.42279
188,Car,00:00:00,23:59:59,70.01481
189,Car,00:00:00,23:59:59,23.63956
190,Car,00:00:00,23:59:59,21.40643
191,Car,00:00:00,23:59:59,41.44053
192,Car,00:00:00,23:59:59,20.27287
193,Car,00:00:00,23:59:59,19.92176
194,Car,00:00:00,23:59:59,41.40008
195,Car,00:00:00,23:59:59,19.0185
196,Car,00:00:00,23:59:59,20.64417
197,Car,00:00:00,23:59:59,39.74211
198,Car,00:00:00,23:59:59,19.68828
199,Car,00:00:00,23:59:59,23.09045
200,Car,00:00:00,23:59:59,44.64773
201,Car,00:00:00,23:59:59,22.48781
202,Car,00:00:00,23:59:59,106.58206
203,Car,00:00:00,23:59:59,52.42063
204,Car,00:00:00,23:59:59,176.76762
205,Car,00:00:00,23:59:59,34.57012
206,Car,00:00:00,23:59:59,76.0261
207,Car,00:00:00,23:59:59,181.68225
208,Car,00:00:00,23:59:59,34.34731
209,Car,00:00:00,23:59:59,73.96162
210,Car,00:00:00,23:59:59,46.20219
211,Car,00:00:00,23:59:59,89.58317
212,Car,00:00:00,23:59:59,76.46323
213,Car,00:00:00,23:59:59,18.1138
214,Car,00:00:00,23:59:59,112.47201
215,Car,00:00:00,23:59:59,46.32777
216,Car,00:00:00,23:59:59,76.34203
217,Car,00:00:00,23:59:59,60.16878
218,Car,00:00:00,23:59:59,112.2192
219,Car,00:00:00,23:59:59,19.82584
220,Car,00:00:00,23:59:59,59.64624
221,Car,00:00:00,23:59:59,131.28559
222,Car,00:00:00,23:59:59,63.07144
223,Car,00:00:00,23:59:59,26.48017
224,Car,00:00:00,23:59:59,198.89218
225,Car,00:00:00,23:59:59,24.60164
226,Car,00:00:00,23:59:59,171.91208
227,Car,00:00:00,23:59:59,26.31082
228,Car,00:00:00,23:59:59,5.28892
229,Car,00:00:00,23:59:59,55.53786
230,Car,00:00:00,23:59:59,67.14976
231,Car,00:00:00,23:59:59,110.69458
232,Car,00:00:00,23:59:59,55.23438
233,Car,00:00:00,23:59:59,133.26768
234,Car,00:00:00,23:59:59,74.74881
235,Car,00:00:00,23:59:59,182.14074
236,Car,00:00:00,23:59:59,67.38276
237,Car,00:00:00,23:59:59,54.43906
238,Car,00:00:00,23:59:59,34.83452
239,Car,00:00:00,23:59:59,33.92274
240,Car,00:00:00,23:59:59,45.49908
241,Car,00:00:00,23:59:59,46.27595
242,Car,00:00:00,23:59:59,57.38622
243,Car,00:00:00,23:59:59,43.67701
244,Car,00:00:00,23:59:59,26.66005
245,Car,00:00:00,23:59:59,36.0712
246,Car,00:00:00,23:59:59,172.72391
247,Car,00:00:00,23:59:59,18.12108
248,Car,00:00:00,23:59:59,88.06674
249,Car,00:00:00,23:59:59,110.38071
250,Car,00:00:00,23:59:59,92.42089
251,Car,00:00:00,23:59:59,19.67615
252,Car,00:00:00,23:59:59,27.83169
253,Car,00:00:00,23:59:59,94.95503
254,Car,00:00:00,23:59:59,5.46156
