block_id,default_speed_limit,accelerate_rate,decelerate_rate,length
6,70,1.1,1.1,3502.47258
4,70,1.1,1.1,2370.85129
7,70,1.1,1.1,3281.46453
3,70,1.1,1.1,3291.93879
8,70,1.1,1.1,2278.67153
2,70,1.1,1.1,2275.33677
9,70,1.1,1.1,2517.99017
1,70,1.1,1.1,3195.79434
5,70,1.1,1.1,1131.46465
10,70,1.1,1.1,672.3121
11,70,1.1,1.1,1530.89687
15,70,1.1,1.1,605.41748
17,70,1.1,1.1,1038.04186
14,70,1.1,1.1,890.88209
13,70,1.1,1.1,1037.9654
18,70,1.1,1.1,2015.48687
12,70,1.1,1.1,2013.77286
19,70,1.1,1.1,729.60143
20,70,1.1,1.1,801.70939
16,70,1.1,1.1,1495.74633
